id catagory_id speed power maxQ maxP absP
1 1 1300 5.5 1.6 400 60
2 1 1450 5.5 1.9 400 60
3 1 1750 7.5 2.29 400 60
4 1 1300 5.5 1.94 400 100
5 1 1450 5.5 2.3 400 100
6 1 1750 7.5 2.76 400 100
7 1 1300 5.5 2.43 400 200
8 1 1450 5.5 2.78 400 200
9 1 1750 7.5 3.37 400 200
10 1 1300 5.5 2.53 400 400
11 1 1450 5.5 2.8 400 400
12 1 1750 7.5 3.35 400 400
13 2 1300 5.5 1.7 400 60
14 2 1450 7.5 2.28 400 60
15 2 1750 11 3.47 400 60
16 2 1300 5.5 2.79 400 100
17 2 1450 7.5 3.4 400 100
18 2 1750 11 4.42 400 100
19 2 1300 5.5 3.78 400 200
20 2 1450 7.5 4.29 400 200
21 2 1750 11 5.2 400 200
22 2 1300 5.5 3.91 400 400
23 2 1450 7.5 4.4 400 400
24 2 1750 11 5.35 400 400
25 3 1300 11 3.95 400 60
26 3 1450 11 4.52 400 60
27 3 1625 15 5.47 400 60
28 3 1750 15 6.1 400 60
29 3 1300 11 4.58 400 100
30 3 1450 11 5.13 400 100
31 3 1625 15 5.97 400 100
32 3 1750 15 6.5 400 100
33 3 1300 11 4.87 400 200
34 3 1450 11 5.53 400 200
35 3 1625 15 6.33 400 200
36 3 1750 15 6.83 400 200
37 3 1300 11 4.93 400 400
38 3 1450 11 5.5 400 400
39 3 1625 15 6.23 400 400
40 3 1750 15 6.7 400 400
41 4 1300 11 4.95 400 60
42 4 1450 15 5.51 400 60
43 4 1750 18.5 7.04 400 60
44 4 1300 11 5.69 400 100
45 4 1450 15 6.38 400 100
46 4 1750 18.5 7.87 400 100
47 4 1300 11 6.46 400 200
48 4 1450 15 7.22 400 200
49 4 1750 18.5 8.72 400 200
50 4 1300 11 6.52 400 400
51 4 1450 15 7.31 400 400
52 4 1750 18.5 8.79 400 400
53 5 1100 15 5.67 400 60
54 5 1300 18.5 7.58 400 60
55 5 1450 18.5 8.95 400 60
56 5 1620 22 10.2 400 60
57 5 1750 30 10.8 400 60
58 5 1100 15 6.77 400 100
59 5 1300 18.5 8.35 400 100
60 5 1450 18.5 9.52 400 100
61 5 1620 22 10.6 400 100
62 5 1750 30 11.2 400 100
63 5 1100 15 7.33 400 200
64 5 1300 18.5 9.93 400 200
65 5 1450 18.5 10 400 200
66 5 1620 22 11 400 200
67 5 1750 30 11.6 400 200
68 5 1100 15 7.33 400 400
69 5 1300 18.5 8.8 400 400
70 5 1450 18.5 9.82 400 400
71 5 1620 22 10.8 400 400
72 5 1750 30 11.4 400 400
73 6 790 18.5 7.69 400 60
74 6 880 18.5 8.84 400 60
75 6 980 22 10 400 60
76 6 1170 30 12.1 400 60
